problem,instance_id,population_size,generations,pool_variant,o_star,o_star_count,o_star_median
tsp,eil22,20,20,full,inversion,1,-433.5
tsp,eil22,20,20,reduced,inversion,1,-433.5
tsp,eil22,20,30,full,inversion,1,-391.5
tsp,eil22,20,30,reduced,inversion,1,-391.5
tsp,eil22,20,50,full,inversion,1,-345.5
tsp,eil22,20,50,reduced,inversion,1,-345.5
tsp,eil22,50,20,full,ox,1,-374.0
tsp,eil22,50,20,reduced,ox,1,-374.0
tsp,eil22,50,30,full,ox,1,-348.0
tsp,eil22,50,30,reduced,ox,1,-348.0
tsp,eil22,50,50,full,ox,1,-331.5
tsp,eil22,50,50,reduced,ox,1,-331.5
tsp,eil51,20,20,full,ox,1,-1128.0
tsp,eil51,20,20,reduced,ox,1,-1128.0
tsp,eil51,20,30,full,inversion,1,-1060.0
tsp,eil51,20,30,reduced,inversion,1,-1060.0
tsp,eil51,20,50,full,inversion,1,-918.5
tsp,eil51,20,50,reduced,inversion,1,-918.5
tsp,eil51,50,20,full,ox,1,-1026.5
tsp,eil51,50,20,reduced,ox,1,-1026.5
tsp,eil51,50,30,full,ox,1,-919.0
tsp,eil51,50,30,reduced,ox,1,-919.0
tsp,eil51,50,50,full,ox,1,-784.5
tsp,eil51,50,50,reduced,ox,1,-784.5
tsp,berlin52,20,20,full,ox,1,-20551.0
tsp,berlin52,20,20,reduced,ox,1,-20551.0
tsp,berlin52,20,30,full,inversion,1,-18970.0
tsp,berlin52,20,30,reduced,inversion,1,-18970.0
tsp,berlin52,20,50,full,inversion,1,-16583.0
tsp,berlin52,20,50,reduced,inversion,1,-16583.0
tsp,berlin52,50,20,full,ox,1,-18367.0
tsp,berlin52,50,20,reduced,ox,1,-18367.0
tsp,berlin52,50,30,full,ox,1,-16408.0
tsp,berlin52,50,30,reduced,ox,1,-16408.0
tsp,berlin52,50,50,full,ox,1,-14056.5
tsp,berlin52,50,50,reduced,ox,1,-14056.5
knapsack,n20_uncorrelated,20,20,full,bitflip,1,8141.5
knapsack,n20_uncorrelated,20,20,reduced,bitflip,1,8141.5
knapsack,n20_uncorrelated,20,30,full,bitflip,1,8226.5
knapsack,n20_uncorrelated,20,30,reduced,bitflip,1,8226.5
knapsack,n20_uncorrelated,20,50,full,bitflip,1,8289.0
knapsack,n20_uncorrelated,20,50,reduced,bitflip,1,8289.0
knapsack,n20_uncorrelated,50,20,full,uniform,1,8329.0
knapsack,n20_uncorrelated,50,20,reduced,uniform,1,8329.0
knapsack,n20_uncorrelated,50,30,full,uniform,1,8329.0
knapsack,n20_uncorrelated,50,30,reduced,uniform,1,8329.0
knapsack,n20_uncorrelated,50,50,full,bitflip,1,8347.0
knapsack,n20_uncorrelated,50,50,reduced,bitflip,1,8347.0
knapsack,n20_weakly,20,20,full,swapbit,1,5428.5
knapsack,n20_weakly,20,20,reduced,bitflip,1,5350.0
knapsack,n20_weakly,20,30,full,swapbit,1,5457.0
knapsack,n20_weakly,20,30,reduced,bitflip,1,5392.0
knapsack,n20_weakly,20,50,full,swapbit,1,5496.0
knapsack,n20_weakly,20,50,reduced,bitflip,1,5441.5
knapsack,n20_weakly,50,20,full,swapbit,1,5513.0
knapsack,n20_weakly,50,20,reduced,bitflip,1,5462.5
knapsack,n20_weakly,50,30,full,swapbit,1,5524.0
knapsack,n20_weakly,50,30,reduced,bitflip,1,5515.0
knapsack,n20_weakly,50,50,full,bitflip,1,5535.5
knapsack,n20_weakly,50,50,reduced,bitflip,1,5535.5
knapsack,n20_strongly,20,20,full,uniform,1,5492.0
knapsack,n20_strongly,20,20,reduced,uniform,1,5492.0
knapsack,n20_strongly,20,30,full,bitflip,1,5543.5
knapsack,n20_strongly,20,30,reduced,bitflip,1,5543.5
knapsack,n20_strongly,20,50,full,bitflip,1,5616.5
knapsack,n20_strongly,20,50,reduced,bitflip,1,5616.5
knapsack,n20_strongly,50,20,full,bitflip,1,5649.0
knapsack,n20_strongly,50,20,reduced,bitflip,1,5649.0
knapsack,n20_strongly,50,30,full,bitflip,1,5655.5
knapsack,n20_strongly,50,30,reduced,bitflip,1,5655.5
knapsack,n20_strongly,50,50,full,bitflip,1,5661.0
knapsack,n20_strongly,50,50,reduced,bitflip,1,5661.0
knapsack,n30_uncorrelated,20,20,full,bitflip,1,12079.0
knapsack,n30_uncorrelated,20,20,reduced,bitflip,1,12079.0
knapsack,n30_uncorrelated,20,30,full,bitflip,1,12419.0
knapsack,n30_uncorrelated,20,30,reduced,bitflip,1,12419.0
knapsack,n30_uncorrelated,20,50,full,bitflip,1,12742.0
knapsack,n30_uncorrelated,20,50,reduced,bitflip,1,12742.0
knapsack,n30_uncorrelated,50,20,full,uniform,1,12829.5
knapsack,n30_uncorrelated,50,20,reduced,uniform,1,12829.5
knapsack,n30_uncorrelated,50,30,full,uniform,1,12829.5
knapsack,n30_uncorrelated,50,30,reduced,uniform,1,12829.5
knapsack,n30_uncorrelated,50,50,full,bitflip,1,12912.5
knapsack,n30_uncorrelated,50,50,reduced,bitflip,1,12912.5
knapsack,n30_weakly,20,20,full,swapbit,1,7941.5
knapsack,n30_weakly,20,20,reduced,bitflip,1,7735.0
knapsack,n30_weakly,20,30,full,swapbit,1,7964.5
knapsack,n30_weakly,20,30,reduced,bitflip,1,7781.5
knapsack,n30_weakly,20,50,full,swapbit,1,8052.0
knapsack,n30_weakly,20,50,reduced,bitflip,1,7873.5
knapsack,n30_weakly,50,20,full,swapbit,1,7982.5
knapsack,n30_weakly,50,20,reduced,uniform,1,7932.5
knapsack,n30_weakly,50,30,full,swapbit,1,8029.0
knapsack,n30_weakly,50,30,reduced,bitflip,1,7952.0
knapsack,n30_weakly,50,50,full,swapbit,1,8078.0
knapsack,n30_weakly,50,50,reduced,bitflip,1,8013.0
knapsack,n30_strongly,20,20,full,bitflip,1,8782.0
knapsack,n30_strongly,20,20,reduced,bitflip,1,8782.0
knapsack,n30_strongly,20,30,full,bitflip,1,8840.5
knapsack,n30_strongly,20,30,reduced,bitflip,1,8840.5
knapsack,n30_strongly,20,50,full,bitflip,1,8855.5
knapsack,n30_strongly,20,50,reduced,bitflip,1,8855.5
knapsack,n30_strongly,50,20,full,uniform,1,8947.0
knapsack,n30_strongly,50,20,reduced,uniform,1,8947.0
knapsack,n30_strongly,50,30,full,uniform,1,8947.0
knapsack,n30_strongly,50,30,reduced,uniform,1,8947.0
knapsack,n30_strongly,50,50,full,bitflip,1,8955.0
knapsack,n30_strongly,50,50,reduced,bitflip,1,8955.0
knapsack,n50_uncorrelated,20,20,full,uniform,1,16207.5
knapsack,n50_uncorrelated,20,20,reduced,uniform,1,16207.5
knapsack,n50_uncorrelated,20,30,full,bitflip,1,17059.5
knapsack,n50_uncorrelated,20,30,reduced,bitflip,1,17059.5
knapsack,n50_uncorrelated,20,50,full,bitflip,1,17854.5
knapsack,n50_uncorrelated,20,50,reduced,bitflip,1,17854.5
knapsack,n50_uncorrelated,50,20,full,uniform,1,18434.0
knapsack,n50_uncorrelated,50,20,reduced,uniform,1,18434.0
knapsack,n50_uncorrelated,50,30,full,uniform,1,18434.0
knapsack,n50_uncorrelated,50,30,reduced,uniform,1,18434.0
knapsack,n50_uncorrelated,50,50,full,uniform,1,18434.0
knapsack,n50_uncorrelated,50,50,reduced,uniform,1,18434.0
knapsack,n50_weakly,20,20,full,swapbit,1,10918.5
knapsack,n50_weakly,20,20,reduced,bitflip,1,10774.0
knapsack,n50_weakly,20,30,full,swapbit,1,10987.0
knapsack,n50_weakly,20,30,reduced,bitflip,1,10825.5
knapsack,n50_weakly,20,50,full,swapbit,1,11118.0
knapsack,n50_weakly,20,50,reduced,bitflip,1,10963.0
knapsack,n50_weakly,50,20,full,swapbit,1,11088.0
knapsack,n50_weakly,50,20,reduced,uniform,1,11035.5
knapsack,n50_weakly,50,30,full,swapbit,1,11134.0
knapsack,n50_weakly,50,30,reduced,uniform,1,11070.0
knapsack,n50_weakly,50,50,full,swapbit,1,11218.0
knapsack,n50_weakly,50,50,reduced,bitflip,1,11091.5
knapsack,n50_strongly,20,20,full,bitflip,1,15924.0
knapsack,n50_strongly,20,20,reduced,bitflip,1,15924.0
knapsack,n50_strongly,20,30,full,bitflip,1,15934.0
knapsack,n50_strongly,20,30,reduced,bitflip,1,15934.0
knapsack,n50_strongly,20,50,full,bitflip,1,16006.0
knapsack,n50_strongly,20,50,reduced,bitflip,1,16006.0
knapsack,n50_strongly,50,20,full,uniform,1,16122.5
knapsack,n50_strongly,50,20,reduced,uniform,1,16122.5
knapsack,n50_strongly,50,30,full,uniform,1,16200.0
knapsack,n50_strongly,50,30,reduced,uniform,1,16200.0
knapsack,n50_strongly,50,50,full,bitflip,1,16209.0
knapsack,n50_strongly,50,50,reduced,bitflip,1,16209.0
continuous,sphere_d5,20,20,full,polynomial,1,-0.13541639793460386
continuous,sphere_d5,20,20,reduced,gaussian,1,-0.6346933685695411
continuous,sphere_d5,20,30,full,polynomial,1,-0.02333754765672333
continuous,sphere_d5,20,30,reduced,gaussian,1,-0.5303337400657921
continuous,sphere_d5,20,50,full,polynomial,1,-0.005516431104944217
continuous,sphere_d5,20,50,reduced,gaussian,1,-0.4577783510678936
continuous,sphere_d5,50,20,full,arithmetic,1,-0.006103024955062288
continuous,sphere_d5,50,20,reduced,gaussian,1,-0.5073739440036058
continuous,sphere_d5,50,30,full,arithmetic,1,-0.005993110789474514
continuous,sphere_d5,50,30,reduced,gaussian,1,-0.3911225604460239
continuous,sphere_d5,50,50,full,polynomial,1,-0.002243991333217501
continuous,sphere_d5,50,50,reduced,gaussian,1,-0.29723006158970044
continuous,sphere_d10,20,20,full,arithmetic,1,-3.3534138012894044
continuous,sphere_d10,20,20,reduced,gaussian,1,-6.603608153478778
continuous,sphere_d10,20,30,full,polynomial,1,-3.2402488491052437
continuous,sphere_d10,20,30,reduced,gaussian,1,-4.713614034555652
continuous,sphere_d10,20,50,full,polynomial,1,-0.3071983242184271
continuous,sphere_d10,20,50,reduced,gaussian,1,-4.155681222661679
continuous,sphere_d10,50,20,full,arithmetic,1,-0.21314882012605463
continuous,sphere_d10,50,20,reduced,gaussian,1,-4.642889919956765
continuous,sphere_d10,50,30,full,arithmetic,1,-0.21208357653479465
continuous,sphere_d10,50,30,reduced,gaussian,1,-3.623732135825635
continuous,sphere_d10,50,50,full,polynomial,1,-0.12701445280337864
continuous,sphere_d10,50,50,reduced,gaussian,1,-3.3126222388495523
continuous,rastrigin_d5,20,20,full,arithmetic,1,-10.364920948635557
continuous,rastrigin_d5,20,20,reduced,gaussian,1,-18.32867175112887
continuous,rastrigin_d5,20,30,full,polynomial,1,-8.842080515131059
continuous,rastrigin_d5,20,30,reduced,gaussian,1,-17.19651611703599
continuous,rastrigin_d5,20,50,full,polynomial,1,-5.136015487427009
continuous,rastrigin_d5,20,50,reduced,gaussian,1,-16.21748929583238
continuous,rastrigin_d5,50,20,full,arithmetic,1,-5.24920274274988
continuous,rastrigin_d5,50,20,reduced,gaussian,1,-14.703224836932282
continuous,rastrigin_d5,50,30,full,polynomial,1,-3.992873352105974
continuous,rastrigin_d5,50,30,reduced,gaussian,1,-13.33602783269517
continuous,rastrigin_d5,50,50,full,polynomial,1,-1.8316506705916353
continuous,rastrigin_d5,50,50,reduced,gaussian,1,-12.136507328381583
continuous,rastrigin_d10,20,20,full,arithmetic,1,-37.813062916428805
continuous,rastrigin_d10,20,20,reduced,gaussian,1,-72.81557062001184
continuous,rastrigin_d10,20,30,full,arithmetic,1,-37.80556276431743
continuous,rastrigin_d10,20,30,reduced,gaussian,1,-66.94282659138383
continuous,rastrigin_d10,20,50,full,polynomial,1,-31.301619602201832
continuous,rastrigin_d10,20,50,reduced,gaussian,1,-63.55151459808572
continuous,rastrigin_d10,50,20,full,arithmetic,1,-17.325538980132528
continuous,rastrigin_d10,50,20,reduced,gaussian,1,-63.4451400693565
continuous,rastrigin_d10,50,30,full,arithmetic,1,-17.02185616887199
continuous,rastrigin_d10,50,30,reduced,gaussian,1,-60.72733495878382
continuous,rastrigin_d10,50,50,full,arithmetic,1,-17.015084629920757
continuous,rastrigin_d10,50,50,reduced,gaussian,1,-57.04728314868018
continuous,rosenbrock_d5,20,20,full,polynomial,1,-4.751038403391563
continuous,rosenbrock_d5,20,20,reduced,gaussian,1,-8.213318327816058
continuous,rosenbrock_d5,20,30,full,polynomial,1,-3.4172221773363667
continuous,rosenbrock_d5,20,30,reduced,gaussian,1,-7.457938924009255
continuous,rosenbrock_d5,20,50,full,polynomial,1,-2.992800277234057
continuous,rosenbrock_d5,20,50,reduced,gaussian,1,-6.396171981013577
continuous,rosenbrock_d5,50,20,full,polynomial,1,-3.0866488254585356
continuous,rosenbrock_d5,50,20,reduced,gaussian,1,-6.19546170593164
continuous,rosenbrock_d5,50,30,full,polynomial,1,-2.693294935153448
continuous,rosenbrock_d5,50,30,reduced,gaussian,1,-5.8986762750771025
continuous,rosenbrock_d5,50,50,full,polynomial,1,-2.407303826408725
continuous,rosenbrock_d5,50,50,reduced,gaussian,1,-5.519534746579021
continuous,rosenbrock_d10,20,20,full,arithmetic,1,-61.99657763052866
continuous,rosenbrock_d10,20,20,reduced,gaussian,1,-109.67925978597512
continuous,rosenbrock_d10,20,30,full,arithmetic,1,-61.990155178213755
continuous,rosenbrock_d10,20,30,reduced,gaussian,1,-87.22224566253685
continuous,rosenbrock_d10,20,50,full,polynomial,1,-20.94675669748291
continuous,rosenbrock_d10,20,50,reduced,gaussian,1,-70.32547389046496
continuous,rosenbrock_d10,50,20,full,arithmetic,1,-16.989659609090445
continuous,rosenbrock_d10,50,20,reduced,gaussian,1,-73.52630774270023
continuous,rosenbrock_d10,50,30,full,arithmetic,1,-16.938704297501406
continuous,rosenbrock_d10,50,30,reduced,gaussian,1,-61.68325633398053
continuous,rosenbrock_d10,50,50,full,polynomial,1,-14.196883595409115
continuous,rosenbrock_d10,50,50,reduced,gaussian,1,-49.98710318027857
